Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.7119E-16,0.039393,0.19048,0,0,0,0.61034,0.0052863,1.2971E-18,6.4773E-18,0.0045574,-0.0011083,0.0009832,0,0,0,0,0,0,package://march7_description_rl/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/base_link.STL,,foot-5,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_lower_leg,-7.7065E-16,0.205,7.2164E-16,0,0,0,1.1232,0.019156,1.8575E-19,-1.3892E-20,0.00046288,-2.647E-20,0.019161,0,0,0,0,0,0,package://march7_description_rl/meshes/right_lower_leg.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/right_lower_leg.STL,,leg-8,Origin_right_ankle,Axis_right_ankle,right_ankle,revolute,0,-0.258,0.108,1.5708,0,0,base_link,1,0,0,0,0,-0.087266,1.2217,,,,,,,,
right_upper_leg,-7.6703E-16,0.205,5.5511E-17,0,0,0,1.1232,0.019156,-7.4621E-20,8.6957E-21,0.00046288,7.9409E-20,0.019161,0,0,0,0,0,0,package://march7_description_rl/meshes/right_upper_leg.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/right_upper_leg.STL,,leg-7,Origin_right_knee,Axis_right_knee,right_knee,revolute,0,0.41,0,0,0,0,right_lower_leg,1,0,0,0,0,-2.3562,0,,,,,,,,
right_hip,-0.037749,-3.3307E-16,-0.1395,0,0,0,0.98442,0.0055337,-6.9259E-18,-0.0022482,0.0084589,-1.2843E-17,0.0033252,0,0,0,0,0,0,package://march7_description_rl/meshes/right_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/right_hip.STL,,hip-6,Origin_right_hip_fe,Axis_right_hip_fe,right_hip_fe,revolute,0,0.41,0,-3.1416,0,0,right_upper_leg,1,0,0,0,0,-0.2618,2.0071,,,,,,,,
hip,-0.0725,0.010671,0.025,0,0,0,0.58567,0.00048472,1.8581E-19,4.5352E-21,0.0014656,-1.0201E-20,0.0017063,0,0,0,0,0,0,package://march7_description_rl/meshes/hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/hip.STL,,hip_bone-1,Origin_right_hip_aa,Axis_right_hip_aa,right_hip_aa,revolute,-0.1545,0,-0.175,3.1416,0,0,right_hip,0,0,1,0,0,-0.5236,0.34907,,,,,,,,
left_hip,0.11675,-1.4433E-15,0.035499,0,0,0,0.98442,0.0055337,3.0788E-18,-0.0022482,0.0084589,8.5063E-18,0.0033252,0,0,0,0,0,0,package://march7_description_rl/meshes/left_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/left_hip.STL,,hip-3,Origin_left_hip_aa,Axis_left_hip_aa,left_hip_aa,revolute,-0.145,0,0,3.1416,0,3.1416,hip,0,0,1,0,0,-0.34907,0.5236,,,,,,,,
left_upper_leg,-0.025,-0.205,2.8866E-15,0,0,0,1.1232,0.019156,3.7863E-19,-8.4131E-20,0.00046288,2.227E-19,0.019161,0,0,0,0,0,0,package://march7_description_rl/meshes/left_upper_leg.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/left_upper_leg.STL,,leg-5,Origin_left_hip_fe,Axis_left_hip_fe,left_hip_fe,revolute,0.1295,0,0.175,3.1416,0,3.1416,left_hip,1,0,0,0,0,-0.2618,2.0071,,,,,,,,
left_lower_leg,-0.025,-0.205,2.276E-15,0,0,0,1.1232,0.019156,4.245E-19,-8.3708E-20,0.00046288,-3.1764E-19,0.019161,0,0,0,0,0,0,package://march7_description_rl/meshes/left_lower_leg.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/left_lower_leg.STL,,leg-6,Origin_left_knee,Axis_left_knee,left_knee,revolute,0,-0.41,0,0,0,0,left_upper_leg,1,0,0,0,0,0,2.3562,,,,,,,,
left_foot,0.025,-0.068607,0.067523,0,0,0,0.61034,0.0052863,-1.3639E-20,1.6129E-20,0.0045574,0.0011083,0.0009832,0,0,0,0,0,0,package://march7_description_rl/meshes/left_foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://march7_description_rl/meshes/left_foot.STL,,foot-4,Origin_left_ankle,Axis_left_ankle,left_ankle,revolute,0,-0.41,0,3.1416,0,3.1416,left_lower_leg,1,0,0,0,0,-1.2217,0.087266,,,,,,,,
